id,candidate_id,question_id,answer_id,intensity,id,candidate_name,candidate_img,candidate_website,candidate_type_id,victory
1,6,1,1,5,6,Barclay C. Winn,,,2,No
2,6,2,4,4,6,Barclay C. Winn,,,2,No
3,6,3,9,4,6,Barclay C. Winn,,,2,No
4,6,4,12,4,6,Barclay C. Winn,,,2,No
5,6,5,14,5,6,Barclay C. Winn,,,2,No
6,6,6,16,5,6,Barclay C. Winn,,,2,No
7,6,7,19,5,6,Barclay C. Winn,,,2,No
8,6,8,20,5,6,Barclay C. Winn,,,2,No
9,6,9,23,2,6,Barclay C. Winn,,,2,No
10,6,10,27,5,6,Barclay C. Winn,,,2,No
11,6,11,28,5,6,Barclay C. Winn,,,2,No
12,6,12,31,5,6,Barclay C. Winn,,,2,No
13,6,13,33,5,6,Barclay C. Winn,,,2,No
14,6,14,35,5,6,Barclay C. Winn,,,2,No
15,6,15,38,5,6,Barclay C. Winn,,,2,No
16,6,16,42,1,6,Barclay C. Winn,,,2,No
17,6,17,43,4,6,Barclay C. Winn,,,2,No
18,6,18,46,5,6,Barclay C. Winn,,,2,No
19,6,19,51,5,6,Barclay C. Winn,,,2,No
20,6,20,53,5,6,Barclay C. Winn,,,2,No
21,6,21,56,5,6,Barclay C. Winn,,,2,No
22,6,22,58,5,6,Barclay C. Winn,,,2,No
23,6,23,60,5,6,Barclay C. Winn,,,2,No
24,6,24,62,3,6,Barclay C. Winn,,,2,No
25,6,25,66,5,6,Barclay C. Winn,,,2,No
26,6,26,67,4,6,Barclay C. Winn,,,2,No
27,6,27,70,5,6,Barclay C. Winn,,,2,No
28,6,28,74,5,6,Barclay C. Winn,,,2,No
29,6,29,76,5,6,Barclay C. Winn,,,2,No
30,6,30,80,4,6,Barclay C. Winn,,,2,No
31,6,31,82,5,6,Barclay C. Winn,,,2,No
32,6,32,85,5,6,Barclay C. Winn,,,2,No
33,6,33,89,5,6,Barclay C. Winn,,,2,No
34,6,34,91,2,6,Barclay C. Winn,,,2,No
35,6,35,93,4,6,Barclay C. Winn,,,2,No
36,6,36,96,4,6,Barclay C. Winn,,,2,No
37,8,1,1,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
38,8,2,5,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
39,8,3,9,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
40,8,4,11,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
41,8,5,15,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
42,8,6,16,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
43,8,7,19,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
44,8,8,20,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
45,8,9,23,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
46,8,10,27,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
47,8,11,29,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
48,8,12,31,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
49,8,13,34,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
50,8,14,35,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
51,8,15,39,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
52,8,16,42,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
53,8,17,43,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
54,8,18,46,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
55,8,19,49,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
56,8,20,53,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
57,8,21,56,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
58,8,22,58,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
59,8,23,60,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
60,8,24,62,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
61,8,25,66,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
62,8,26,68,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
63,8,27,70,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
64,8,28,74,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
65,8,29,78,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
66,8,30,80,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
67,8,31,83,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
68,8,32,85,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
69,8,33,89,5,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
70,8,34,91,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
71,8,35,94,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
72,8,36,96,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
73,7,1,1,5,7,Harry David Candela,,,2,No
74,7,2,4,5,7,Harry David Candela,,,2,No
75,7,3,8,5,7,Harry David Candela,,,2,No
76,7,4,13,5,7,Harry David Candela,,,2,No
77,7,5,14,5,7,Harry David Candela,,,2,No
78,7,6,16,5,7,Harry David Candela,,,2,No
79,7,7,18,5,7,Harry David Candela,,,2,No
80,7,8,20,5,7,Harry David Candela,,,2,No
81,7,9,22,5,7,Harry David Candela,,,2,No
82,7,10,26,5,7,Harry David Candela,,,2,No
83,7,11,29,5,7,Harry David Candela,,,2,No
84,7,12,32,5,7,Harry David Candela,,,2,No
85,7,13,34,5,7,Harry David Candela,,,2,No
86,7,14,35,5,7,Harry David Candela,,,2,No
87,7,15,40,5,7,Harry David Candela,,,2,No
88,7,16,41,5,7,Harry David Candela,,,2,No
89,7,17,43,5,7,Harry David Candela,,,2,No
90,7,18,46,5,7,Harry David Candela,,,2,No
91,7,19,49,5,7,Harry David Candela,,,2,No
92,7,20,52,5,7,Harry David Candela,,,2,No
93,7,21,57,5,7,Harry David Candela,,,2,No
94,7,22,58,5,7,Harry David Candela,,,2,No
95,7,23,60,5,7,Harry David Candela,,,2,No
96,7,24,62,5,7,Harry David Candela,,,2,No
97,7,25,66,5,7,Harry David Candela,,,2,No
98,7,26,69,5,7,Harry David Candela,,,2,No
99,7,27,71,5,7,Harry David Candela,,,2,No
100,7,28,73,5,7,Harry David Candela,,,2,No
101,7,29,78,5,7,Harry David Candela,,,2,No
102,7,30,79,5,7,Harry David Candela,,,2,No
103,7,31,83,5,7,Harry David Candela,,,2,No
104,7,32,86,5,7,Harry David Candela,,,2,No
105,7,33,89,5,7,Harry David Candela,,,2,No
106,7,34,90,5,7,Harry David Candela,,,2,No
107,7,35,93,5,7,Harry David Candela,,,2,No
108,7,36,96,5,7,Harry David Candela,,,2,No
109,10,1,1,5,10,Kendrick J. Turner,,,2,No
110,10,2,4,5,10,Kendrick J. Turner,,,2,No
111,10,3,9,5,10,Kendrick J. Turner,,,2,No
112,10,4,11,5,10,Kendrick J. Turner,,,2,No
113,10,5,14,5,10,Kendrick J. Turner,,,2,No
114,10,6,16,5,10,Kendrick J. Turner,,,2,No
115,10,7,19,5,10,Kendrick J. Turner,,,2,No
116,10,8,20,5,10,Kendrick J. Turner,,,2,No
117,10,9,22,5,10,Kendrick J. Turner,,,2,No
118,10,10,26,5,10,Kendrick J. Turner,,,2,No
119,10,11,28,5,10,Kendrick J. Turner,,,2,No
120,10,12,31,5,10,Kendrick J. Turner,,,2,No
121,10,13,33,5,10,Kendrick J. Turner,,,2,No
122,10,14,35,5,10,Kendrick J. Turner,,,2,No
123,10,15,38,5,10,Kendrick J. Turner,,,2,No
124,10,16,41,5,10,Kendrick J. Turner,,,2,No
125,10,17,43,5,10,Kendrick J. Turner,,,2,No
126,10,18,46,5,10,Kendrick J. Turner,,,2,No
127,10,19,49,5,10,Kendrick J. Turner,,,2,No
128,10,20,53,5,10,Kendrick J. Turner,,,2,No
129,10,21,56,5,10,Kendrick J. Turner,,,2,No
130,10,22,58,5,10,Kendrick J. Turner,,,2,No
131,10,23,60,5,10,Kendrick J. Turner,,,2,No
132,10,24,62,5,10,Kendrick J. Turner,,,2,No
133,10,25,66,5,10,Kendrick J. Turner,,,2,No
134,10,26,67,5,10,Kendrick J. Turner,,,2,No
135,10,27,70,5,10,Kendrick J. Turner,,,2,No
136,10,28,73,5,10,Kendrick J. Turner,,,2,No
137,10,29,78,5,10,Kendrick J. Turner,,,2,No
138,10,30,79,5,10,Kendrick J. Turner,,,2,No
139,10,31,82,5,10,Kendrick J. Turner,,,2,No
140,10,32,84,5,10,Kendrick J. Turner,,,2,No
141,10,33,87,5,10,Kendrick J. Turner,,,2,No
142,10,34,90,5,10,Kendrick J. Turner,,,2,No
143,10,35,94,5,10,Kendrick J. Turner,,,2,No
144,10,36,96,5,10,Kendrick J. Turner,,,2,No
145,4,1,1,5,4,Andria P. McClellan,,,2,Yes
146,4,2,4,5,4,Andria P. McClellan,,,2,Yes
147,4,3,9,5,4,Andria P. McClellan,,,2,Yes
148,4,4,12,5,4,Andria P. McClellan,,,2,Yes
149,4,5,14,5,4,Andria P. McClellan,,,2,Yes
150,4,6,17,5,4,Andria P. McClellan,,,2,Yes
151,4,7,19,5,4,Andria P. McClellan,,,2,Yes
152,4,8,20,5,4,Andria P. McClellan,,,2,Yes
153,4,9,23,1,4,Andria P. McClellan,,,2,Yes
154,4,10,24,5,4,Andria P. McClellan,,,2,Yes
155,4,11,28,5,4,Andria P. McClellan,,,2,Yes
156,4,12,31,5,4,Andria P. McClellan,,,2,Yes
157,4,13,34,5,4,Andria P. McClellan,,,2,Yes
158,4,14,35,5,4,Andria P. McClellan,,,2,Yes
159,4,15,40,5,4,Andria P. McClellan,,,2,Yes
160,4,16,41,5,4,Andria P. McClellan,,,2,Yes
161,4,17,43,5,4,Andria P. McClellan,,,2,Yes
162,4,18,46,5,4,Andria P. McClellan,,,2,Yes
163,4,19,50,5,4,Andria P. McClellan,,,2,Yes
164,4,20,52,5,4,Andria P. McClellan,,,2,Yes
165,4,21,57,5,4,Andria P. McClellan,,,2,Yes
166,4,22,58,5,4,Andria P. McClellan,,,2,Yes
167,4,23,60,5,4,Andria P. McClellan,,,2,Yes
168,4,24,62,3,4,Andria P. McClellan,,,2,Yes
169,4,25,66,5,4,Andria P. McClellan,,,2,Yes
170,4,26,69,2,4,Andria P. McClellan,,,2,Yes
171,4,27,71,4,4,Andria P. McClellan,,,2,Yes
172,4,28,73,4,4,Andria P. McClellan,,,2,Yes
173,4,29,78,5,4,Andria P. McClellan,,,2,Yes
174,4,30,80,5,4,Andria P. McClellan,,,2,Yes
175,4,31,83,5,4,Andria P. McClellan,,,2,Yes
176,4,32,85,5,4,Andria P. McClellan,,,2,Yes
177,4,33,88,5,4,Andria P. McClellan,,,2,Yes
178,4,34,92,3,4,Andria P. McClellan,,,2,Yes
179,4,35,94,4,4,Andria P. McClellan,,,2,Yes
180,4,36,96,5,4,Andria P. McClellan,,,2,Yes
181,2,1,1,5,2,Robert J. McCabe,,,1,No
182,2,2,4,5,2,Robert J. McCabe,,,1,No
183,2,3,9,5,2,Robert J. McCabe,,,1,No
184,2,4,12,5,2,Robert J. McCabe,,,1,No
185,2,5,14,5,2,Robert J. McCabe,,,1,No
186,2,6,16,5,2,Robert J. McCabe,,,1,No
187,2,7,19,5,2,Robert J. McCabe,,,1,No
188,2,8,20,5,2,Robert J. McCabe,,,1,No
189,2,9,22,5,2,Robert J. McCabe,,,1,No
190,2,10,26,5,2,Robert J. McCabe,,,1,No
191,2,11,28,5,2,Robert J. McCabe,,,1,No
192,2,12,32,5,2,Robert J. McCabe,,,1,No
193,2,13,34,5,2,Robert J. McCabe,,,1,No
194,2,14,35,5,2,Robert J. McCabe,,,1,No
195,2,15,40,5,2,Robert J. McCabe,,,1,No
196,2,16,41,5,2,Robert J. McCabe,,,1,No
197,2,17,44,3,2,Robert J. McCabe,,,1,No
198,2,18,45,5,2,Robert J. McCabe,,,1,No
199,2,19,50,5,2,Robert J. McCabe,,,1,No
200,2,20,52,5,2,Robert J. McCabe,,,1,No
201,2,21,57,5,2,Robert J. McCabe,,,1,No
202,2,22,58,5,2,Robert J. McCabe,,,1,No
203,2,23,60,5,2,Robert J. McCabe,,,1,No
204,2,24,62,3,2,Robert J. McCabe,,,1,No
205,2,25,66,5,2,Robert J. McCabe,,,1,No
206,2,26,69,5,2,Robert J. McCabe,,,1,No
207,2,27,70,5,2,Robert J. McCabe,,,1,No
208,2,28,73,5,2,Robert J. McCabe,,,1,No
209,2,29,78,5,2,Robert J. McCabe,,,1,No
210,2,30,79,5,2,Robert J. McCabe,,,1,No
211,2,31,83,5,2,Robert J. McCabe,,,1,No
212,2,32,85,5,2,Robert J. McCabe,,,1,No
213,2,33,88,5,2,Robert J. McCabe,,,1,No
214,2,34,91,4,2,Robert J. McCabe,,,1,No
215,2,35,94,5,2,Robert J. McCabe,,,1,No
216,2,36,96,5,2,Robert J. McCabe,,,1,No
217,5,1,2,3,5,Warren A. Stewart,,,2,No
218,5,2,5,3,5,Warren A. Stewart,,,2,No
219,5,3,9,3,5,Warren A. Stewart,,,2,No
220,5,4,13,3,5,Warren A. Stewart,,,2,No
221,5,5,14,4,5,Warren A. Stewart,,,2,No
222,5,6,17,4,5,Warren A. Stewart,,,2,No
223,5,7,18,5,5,Warren A. Stewart,,,2,No
224,5,8,20,2,5,Warren A. Stewart,,,2,No
225,5,9,23,1,5,Warren A. Stewart,,,2,No
226,5,10,27,4,5,Warren A. Stewart,,,2,No
227,5,11,28,3,5,Warren A. Stewart,,,2,No
228,5,12,31,5,5,Warren A. Stewart,,,2,No
229,5,13,34,5,5,Warren A. Stewart,,,2,No
230,5,14,35,5,5,Warren A. Stewart,,,2,No
231,5,15,40,5,5,Warren A. Stewart,,,2,No
232,5,16,42,2,5,Warren A. Stewart,,,2,No
233,5,17,43,5,5,Warren A. Stewart,,,2,No
234,5,18,46,3,5,Warren A. Stewart,,,2,No
235,5,19,50,4,5,Warren A. Stewart,,,2,No
236,5,20,53,3,5,Warren A. Stewart,,,2,No
237,5,21,57,4,5,Warren A. Stewart,,,2,No
238,5,22,58,5,5,Warren A. Stewart,,,2,No
239,5,23,60,4,5,Warren A. Stewart,,,2,No
240,5,24,63,2,5,Warren A. Stewart,,,2,No
241,5,25,64,3,5,Warren A. Stewart,,,2,No
242,5,26,68,3,5,Warren A. Stewart,,,2,No
243,5,27,71,2,5,Warren A. Stewart,,,2,No
244,5,28,73,3,5,Warren A. Stewart,,,2,No
245,5,29,78,4,5,Warren A. Stewart,,,2,No
246,5,30,81,2,5,Warren A. Stewart,,,2,No
247,5,31,83,4,5,Warren A. Stewart,,,2,No
248,5,32,84,5,5,Warren A. Stewart,,,2,No
249,5,33,87,5,5,Warren A. Stewart,,,2,No
250,5,34,92,1,5,Warren A. Stewart,,,2,No
251,5,35,94,3,5,Warren A. Stewart,,,2,No
252,5,36,97,5,5,Warren A. Stewart,,,2,No
253,1,1,1,5,1,Kenneth Cooper Alexander,,,1,Yes
254,1,2,4,5,1,Kenneth Cooper Alexander,,,1,Yes
255,1,3,7,5,1,Kenneth Cooper Alexander,,,1,Yes
256,1,4,12,5,1,Kenneth Cooper Alexander,,,1,Yes
257,1,5,14,4,1,Kenneth Cooper Alexander,,,1,Yes
258,1,6,16,5,1,Kenneth Cooper Alexander,,,1,Yes
259,1,7,19,5,1,Kenneth Cooper Alexander,,,1,Yes
260,1,8,20,5,1,Kenneth Cooper Alexander,,,1,Yes
261,1,9,23,1,1,Kenneth Cooper Alexander,,,1,Yes
262,1,10,26,5,1,Kenneth Cooper Alexander,,,1,Yes
263,1,11,28,5,1,Kenneth Cooper Alexander,,,1,Yes
264,1,12,32,5,1,Kenneth Cooper Alexander,,,1,Yes
265,1,13,34,5,1,Kenneth Cooper Alexander,,,1,Yes
266,1,14,35,5,1,Kenneth Cooper Alexander,,,1,Yes
267,1,15,40,5,1,Kenneth Cooper Alexander,,,1,Yes
268,1,16,42,1,1,Kenneth Cooper Alexander,,,1,Yes
269,1,17,44,5,1,Kenneth Cooper Alexander,,,1,Yes
270,1,18,48,5,1,Kenneth Cooper Alexander,,,1,Yes
271,1,19,50,5,1,Kenneth Cooper Alexander,,,1,Yes
272,1,20,53,5,1,Kenneth Cooper Alexander,,,1,Yes
273,1,21,57,5,1,Kenneth Cooper Alexander,,,1,Yes
274,1,22,59,5,1,Kenneth Cooper Alexander,,,1,Yes
275,1,23,61,5,1,Kenneth Cooper Alexander,,,1,Yes
276,1,24,62,1,1,Kenneth Cooper Alexander,,,1,Yes
277,1,25,65,5,1,Kenneth Cooper Alexander,,,1,Yes
278,1,26,68,3,1,Kenneth Cooper Alexander,,,1,Yes
279,1,27,70,3,1,Kenneth Cooper Alexander,,,1,Yes
280,1,28,74,4,1,Kenneth Cooper Alexander,,,1,Yes
281,1,29,76,5,1,Kenneth Cooper Alexander,,,1,Yes
282,1,30,81,3,1,Kenneth Cooper Alexander,,,1,Yes
283,1,31,83,5,1,Kenneth Cooper Alexander,,,1,Yes
284,1,32,85,5,1,Kenneth Cooper Alexander,,,1,Yes
285,1,33,89,5,1,Kenneth Cooper Alexander,,,1,Yes
286,1,34,92,1,1,Kenneth Cooper Alexander,,,1,Yes
287,1,35,94,5,1,Kenneth Cooper Alexander,,,1,Yes
288,1,36,97,5,1,Kenneth Cooper Alexander,,,1,Yes
289,3,1,1,5,3,Andy A. Protogyrou,,,1,No
290,3,2,4,5,3,Andy A. Protogyrou,,,1,No
291,3,3,9,5,3,Andy A. Protogyrou,,,1,No
292,3,4,12,5,3,Andy A. Protogyrou,,,1,No
293,3,5,14,5,3,Andy A. Protogyrou,,,1,No
294,3,6,16,5,3,Andy A. Protogyrou,,,1,No
295,3,7,18,5,3,Andy A. Protogyrou,,,1,No
296,3,8,20,5,3,Andy A. Protogyrou,,,1,No
297,3,9,22,4,3,Andy A. Protogyrou,,,1,No
298,3,10,24,5,3,Andy A. Protogyrou,,,1,No
299,3,11,28,4,3,Andy A. Protogyrou,,,1,No
300,3,12,31,5,3,Andy A. Protogyrou,,,1,No
301,3,13,33,5,3,Andy A. Protogyrou,,,1,No
302,3,14,35,5,3,Andy A. Protogyrou,,,1,No
303,3,15,39,5,3,Andy A. Protogyrou,,,1,No
304,3,16,41,5,3,Andy A. Protogyrou,,,1,No
305,3,17,44,5,3,Andy A. Protogyrou,,,1,No
306,3,18,46,5,3,Andy A. Protogyrou,,,1,No
307,3,19,49,5,3,Andy A. Protogyrou,,,1,No
308,3,20,53,5,3,Andy A. Protogyrou,,,1,No
309,3,21,55,5,3,Andy A. Protogyrou,,,1,No
310,3,22,58,5,3,Andy A. Protogyrou,,,1,No
311,3,23,60,5,3,Andy A. Protogyrou,,,1,No
312,3,24,62,4,3,Andy A. Protogyrou,,,1,No
313,3,25,66,5,3,Andy A. Protogyrou,,,1,No
314,3,26,68,5,3,Andy A. Protogyrou,,,1,No
315,3,27,70,5,3,Andy A. Protogyrou,,,1,No
316,3,28,74,5,3,Andy A. Protogyrou,,,1,No
317,3,29,78,5,3,Andy A. Protogyrou,,,1,No
318,3,30,80,4,3,Andy A. Protogyrou,,,1,No
319,3,31,82,5,3,Andy A. Protogyrou,,,1,No
320,3,32,84,5,3,Andy A. Protogyrou,,,1,No
321,3,33,89,5,3,Andy A. Protogyrou,,,1,No
322,3,34,91,5,3,Andy A. Protogyrou,,,1,No
323,3,35,94,5,3,Andy A. Protogyrou,,,1,No
324,3,36,96,5,3,Andy A. Protogyrou,,,1,No
325,9,1,1,4,9,Angelia Williams Graves,,,2,Yes
326,9,2,5,4,9,Angelia Williams Graves,,,2,Yes
327,9,3,9,3,9,Angelia Williams Graves,,,2,Yes
328,9,4,11,3,9,Angelia Williams Graves,,,2,Yes
329,9,5,15,1,9,Angelia Williams Graves,,,2,Yes
330,9,6,17,1,9,Angelia Williams Graves,,,2,Yes
331,9,7,19,5,9,Angelia Williams Graves,,,2,Yes
332,9,8,20,3,9,Angelia Williams Graves,,,2,Yes
333,9,9,23,1,9,Angelia Williams Graves,,,2,Yes
334,9,10,25,4,9,Angelia Williams Graves,,,2,Yes
335,9,11,29,2,9,Angelia Williams Graves,,,2,Yes
336,9,12,30,4,9,Angelia Williams Graves,,,2,Yes
337,9,13,33,5,9,Angelia Williams Graves,,,2,Yes
338,9,14,35,4,9,Angelia Williams Graves,,,2,Yes
339,9,15,38,5,9,Angelia Williams Graves,,,2,Yes
340,9,16,42,3,9,Angelia Williams Graves,,,2,Yes
341,9,17,44,5,9,Angelia Williams Graves,,,2,Yes
342,9,18,47,3,9,Angelia Williams Graves,,,2,Yes
343,9,19,51,4,9,Angelia Williams Graves,,,2,Yes
344,9,20,53,4,9,Angelia Williams Graves,,,2,Yes
345,9,21,57,3,9,Angelia Williams Graves,,,2,Yes
346,9,22,58,5,9,Angelia Williams Graves,,,2,Yes
347,9,23,60,5,9,Angelia Williams Graves,,,2,Yes
348,9,24,62,1,9,Angelia Williams Graves,,,2,Yes
349,9,25,64,4,9,Angelia Williams Graves,,,2,Yes
350,9,26,68,3,9,Angelia Williams Graves,,,2,Yes
351,9,27,70,4,9,Angelia Williams Graves,,,2,Yes
352,9,28,74,3,9,Angelia Williams Graves,,,2,Yes
353,9,29,78,4,9,Angelia Williams Graves,,,2,Yes
354,9,30,79,4,9,Angelia Williams Graves,,,2,Yes
355,9,31,82,5,9,Angelia Williams Graves,,,2,Yes
356,9,32,85,5,9,Angelia Williams Graves,,,2,Yes
357,9,33,89,5,9,Angelia Williams Graves,,,2,Yes
358,9,34,91,1,9,Angelia Williams Graves,,,2,Yes
359,9,35,95,5,9,Angelia Williams Graves,,,2,Yes
360,9,36,97,5,9,Angelia Williams Graves,,,2,Yes
